RunID,SourceID,SourceTime
100367,0,0.0
100964,0,0.0
102562,0,0.0
103790,0,0.0
101063,0,0.0
105535,1,38.9
105663,1,53.8
105243,1,51.5
105323,1,31.7
104919,1,72.8
106059,2,223.5
106354,2,47.6
106333,2,278.2
106047,2,56.3
106080,2,77.2
106680,3,45.1
107216,3,49.9
106594,3,43.8
107272,3,36.8
107052,3,72.1
107610,4,60.7
107702,4,58.4
107566,4,123.4
107379,4,143.4
107849,4,150.0
108781,5,81.1
108125,5,30.6
108356,5,232.7
108537,5,145.5
108278,5,30.2
109225,6,43.3
108995,6,170.4
109495,6,45.6
109646,6,377.1
109624,6,101.2
